epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2606.14,1.24764,1.26049,1.56347,0.82096,0.7053,0.76631,0.45836,1.50266,1.06136,1.95385,0.005743,0.005743,0.005743
45,2665.1,1.23874,1.2559,1.5583,0.82987,0.70497,0.76454,0.45636,1.50549,1.05691,1.96386,0.005644,0.005644,0.005644
46,2724,1.24042,1.23324,1.55692,0.81825,0.70892,0.76305,0.45525,1.50066,1.05364,1.96415,0.005545,0.005545,0.005545
47,2783.12,1.22463,1.20901,1.5422,0.81751,0.71127,0.75776,0.44899,1.51286,1.04894,1.97737,0.005446,0.005446,0.005446
48,2842.05,1.23546,1.22039,1.54478,0.81363,0.71718,0.76269,0.44998,1.51905,1.04686,1.97245,0.005347,0.005347,0.005347
49,2900.99,1.22022,1.2125,1.54122,0.84536,0.70639,0.77041,0.45314,1.51711,1.03639,1.97921,0.005248,0.005248,0.005248
50,2960.01,1.21894,1.20588,1.53752,0.82413,0.71003,0.76586,0.45346,1.51699,1.05033,1.98092,0.005149,0.005149,0.005149
51,3018.78,1.21357,1.18068,1.53341,0.81611,0.71795,0.76902,0.45544,1.51174,1.05345,1.97496,0.00505,0.00505,0.00505
52,3077.6,1.21753,1.1803,1.53324,0.81361,0.71564,0.76164,0.45337,1.50816,1.04054,1.96982,0.004951,0.004951,0.004951
53,3136.62,1.21053,1.1736,1.53176,0.82204,0.72203,0.76296,0.45392,1.5115,1.0375,1.98064,0.004852,0.004852,0.004852
54,3195.49,1.20803,1.16568,1.52548,0.83608,0.71875,0.76554,0.45524,1.51478,1.03122,1.98384,0.004753,0.004753,0.004753
55,3254.33,1.19573,1.13528,1.51439,0.8022,0.72514,0.76282,0.45228,1.51218,1.04229,1.98047,0.004654,0.004654,0.004654
56,3313.15,1.18939,1.1381,1.52018,0.81679,0.71806,0.76545,0.45667,1.50157,1.03558,1.96998,0.004555,0.004555,0.004555
57,3372.17,1.18831,1.12724,1.51262,0.81314,0.71702,0.7735,0.45881,1.50876,1.01519,1.97698,0.004456,0.004456,0.004456
58,3431.02,1.18806,1.12726,1.51109,0.84384,0.70953,0.77586,0.46092,1.51071,1.02035,1.97528,0.004357,0.004357,0.004357
59,3489.94,1.17357,1.11879,1.50498,0.84387,0.70791,0.77599,0.45891,1.512,1.0178,1.98115,0.004258,0.004258,0.004258
60,3549.02,1.17661,1.11555,1.50161,0.81665,0.72061,0.7742,0.46045,1.51485,1.01585,1.98065,0.004159,0.004159,0.004159
61,3607.92,1.17077,1.0951,1.49518,0.83516,0.70679,0.77308,0.45848,1.52048,1.01976,1.98844,0.00406,0.00406,0.00406
62,3666.78,1.16681,1.0867,1.49309,0.80831,0.72591,0.77148,0.46049,1.51282,1.02139,1.98555,0.003961,0.003961,0.003961
63,3725.77,1.16626,1.0958,1.49531,0.83197,0.70585,0.77104,0.45772,1.51885,1.0238,1.99002,0.003862,0.003862,0.003862
64,3784.65,1.15692,1.07214,1.48844,0.84309,0.7114,0.77435,0.45951,1.51633,1.01372,1.99246,0.003763,0.003763,0.003763
65,3843.51,1.15567,1.06873,1.48892,0.82789,0.72005,0.77298,0.45839,1.52342,1.00949,2.00231,0.003664,0.003664,0.003664
66,3902.51,1.13824,1.04968,1.47359,0.82404,0.72537,0.76995,0.45761,1.52964,1.01536,2.00786,0.003565,0.003565,0.003565
67,3961.16,1.14207,1.0479,1.47305,0.84324,0.71263,0.77073,0.45591,1.53044,1.01725,2.01321,0.003466,0.003466,0.003466
68,4019.77,1.13089,1.03922,1.46833,0.83725,0.71479,0.76827,0.45591,1.52997,1.02612,2.01839,0.003367,0.003367,0.003367
69,4078.34,1.12475,1.02694,1.46389,0.83321,0.71122,0.76873,0.45651,1.52937,1.03138,2.01803,0.003268,0.003268,0.003268
70,4137.12,1.12968,1.03116,1.459,0.82464,0.7154,0.77142,0.45797,1.53321,1.03155,2.02396,0.003169,0.003169,0.003169
71,4195.7,1.12358,1.02835,1.45844,0.8429,0.70621,0.77104,0.45713,1.5371,1.02812,2.02951,0.00307,0.00307,0.00307
72,4254.27,1.11953,1.01259,1.45235,0.83308,0.71101,0.77099,0.45608,1.53858,1.02415,2.03189,0.002971,0.002971,0.002971
73,4313.02,1.1099,1.00881,1.45026,0.83582,0.71527,0.76822,0.45609,1.54034,1.02639,2.03431,0.002872,0.002872,0.002872
74,4371.56,1.11218,1.00494,1.44867,0.82463,0.7178,0.76594,0.45705,1.539,1.03115,2.03353,0.002773,0.002773,0.002773
75,4430.01,1.10788,1.00162,1.44963,0.83423,0.71284,0.76649,0.45576,1.53925,1.03757,2.03532,0.002674,0.002674,0.002674
76,4488.62,1.09954,0.98018,1.44029,0.82159,0.7218,0.76706,0.45534,1.53893,1.03601,2.03613,0.002575,0.002575,0.002575
77,4547.11,1.09962,0.98916,1.43737,0.82195,0.72248,0.76619,0.45494,1.54081,1.03709,2.03895,0.002476,0.002476,0.002476
78,4605.58,1.08368,0.98185,1.43412,0.84635,0.70938,0.76598,0.45489,1.54328,1.04006,2.04317,0.002377,0.002377,0.002377
79,4663.99,1.08022,0.96893,1.43095,0.84913,0.70437,0.76559,0.45326,1.54509,1.04106,2.04577,0.002278,0.002278,0.002278
80,4722.45,1.08282,0.96463,1.43124,0.84976,0.70851,0.76639,0.45322,1.54588,1.04379,2.0486,0.002179,0.002179,0.002179
81,4780.73,1.0808,0.95558,1.42353,0.83171,0.71513,0.7663,0.45441,1.54628,1.04392,2.05068,0.00208,0.00208,0.00208
82,4838.97,1.07332,0.95117,1.41996,0.83711,0.71391,0.76545,0.45364,1.547,1.04409,2.05291,0.001981,0.001981,0.001981
83,4897.37,1.06721,0.94399,1.41914,0.84209,0.7106,0.76491,0.45331,1.54747,1.04368,2.05391,0.001882,0.001882,0.001882
84,4955.51,1.05475,0.94175,1.40895,0.83627,0.71701,0.76562,0.45298,1.54649,1.04521,2.05507,0.001783,0.001783,0.001783
85,5013.64,1.0522,0.93277,1.40883,0.8378,0.72232,0.76788,0.45151,1.54748,1.0446,2.05757,0.001684,0.001684,0.001684
86,5071.81,1.0464,0.9208,1.40217,0.83607,0.72066,0.76743,0.45072,1.54838,1.0465,2.06035,0.001585,0.001585,0.001585
87,5130.11,1.04264,0.91272,1.39851,0.8313,0.72079,0.76667,0.44937,1.54986,1.04743,2.0645,0.001486,0.001486,0.001486
88,5188.26,1.03483,0.90865,1.39658,0.83043,0.71969,0.766,0.44931,1.5511,1.04677,2.06891,0.001387,0.001387,0.001387
89,5246.38,1.0383,0.90674,1.39357,0.83883,0.72115,0.76698,0.44971,1.55149,1.04739,2.07187,0.001288,0.001288,0.001288
90,5304.69,1.02737,0.89424,1.38677,0.83736,0.72085,0.7673,0.44914,1.55214,1.04855,2.07431,0.001189,0.001189,0.001189
91,5363.67,0.96911,0.59138,1.46075,0.83785,0.71857,0.76612,0.44835,1.55291,1.05202,2.07626,0.00109,0.00109,0.00109
92,5422.12,0.94223,0.55597,1.43523,0.82513,0.72364,0.76623,0.44795,1.55317,1.05245,2.07851,0.000991,0.000991,0.000991
93,5480.77,0.92965,0.54311,1.41702,0.84293,0.71556,0.76796,0.44933,1.5529,1.05245,2.07979,0.000892,0.000892,0.000892
94,5539.2,0.90987,0.52988,1.40458,0.83278,0.72432,0.76832,0.45022,1.55262,1.05322,2.08136,0.000793,0.000793,0.000793
95,5597.69,0.90378,0.52284,1.39732,0.83138,0.72132,0.76863,0.44966,1.55276,1.05329,2.0826,0.000694,0.000694,0.000694
96,5656.18,0.89402,0.51981,1.3887,0.83457,0.72189,0.76782,0.44892,1.55261,1.05416,2.08405,0.000595,0.000595,0.000595
97,5714.81,0.88217,0.50872,1.37309,0.83323,0.72158,0.76789,0.4494,1.55304,1.05414,2.08632,0.000496,0.000496,0.000496
98,5773.34,0.87833,0.51334,1.38231,0.83529,0.72237,0.76812,0.44942,1.55187,1.05413,2.08667,0.000397,0.000397,0.000397
99,5831.87,0.86703,0.50025,1.36735,0.8358,0.72051,0.76703,0.44835,1.5527,1.05534,2.08955,0.000298,0.000298,0.000298
100,5890.62,0.86553,0.49411,1.36516,0.83522,0.71661,0.76644,0.44779,1.55323,1.0554,2.09144,0.000199,0.000199,0.000199
