epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6601.4,1.24895,1.26094,1.55959,0.83107,0.70861,0.76626,0.45436,1.50414,1.06812,1.95338,0.005842,0.005842,0.005842
44,6751.05,1.24674,1.26696,1.55887,0.82268,0.71102,0.77281,0.45825,1.51274,1.05353,1.9679,0.005743,0.005743,0.005743
45,6902.72,1.23915,1.25427,1.55514,0.81162,0.71782,0.76459,0.45723,1.50564,1.0849,1.96106,0.005644,0.005644,0.005644
46,7051.81,1.24159,1.23317,1.55619,0.84802,0.69835,0.76369,0.46046,1.49867,1.06527,1.95334,0.005545,0.005545,0.005545
47,7200.1,1.22679,1.2121,1.54082,0.81928,0.71492,0.76732,0.45658,1.50676,1.06679,1.96633,0.005446,0.005446,0.005446
48,7352.57,1.22797,1.22786,1.54116,0.83247,0.70768,0.76576,0.45362,1.52574,1.06094,1.97939,0.005347,0.005347,0.005347
49,7502.9,1.22671,1.2083,1.54516,0.81264,0.71846,0.76715,0.45391,1.51349,1.05341,1.96971,0.005248,0.005248,0.005248
50,7651.89,1.22147,1.20424,1.53813,0.83979,0.71506,0.77402,0.45617,1.51661,1.0431,1.97665,0.005149,0.005149,0.005149
51,7804.56,1.21047,1.19121,1.53016,0.84208,0.70913,0.77524,0.46,1.51532,1.05327,1.97636,0.00505,0.00505,0.00505
52,7955.41,1.218,1.18235,1.53032,0.83427,0.70847,0.76913,0.45624,1.51281,1.04938,1.96846,0.004951,0.004951,0.004951
53,8104.82,1.21058,1.17366,1.52802,0.83174,0.70522,0.76894,0.45572,1.50799,1.04778,1.97172,0.004852,0.004852,0.004852
54,8256.16,1.20593,1.16505,1.51841,0.85115,0.71151,0.77452,0.45877,1.51648,1.04342,1.97792,0.004753,0.004753,0.004753
55,8407.53,1.19416,1.14061,1.51191,0.83433,0.71709,0.77251,0.4558,1.51577,1.04381,1.984,0.004654,0.004654,0.004654
